pair,date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
usdjpy,2026-06-08,160.139,-1.837,1.0,4.707,1.213,15.468,,,,,insufficient_history
usdnok,2026-06-08,9.4683,-0.135,1.0,21.8363,7.1702,-0.0374,,,,,insufficient_history
usdsek,2026-06-08,9.4252,-1.675,1.0,7.9111,0.6054,-0.2135,,,,,insufficient_history
audcad,2026-06-09,0.98021,1.433,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-09,0.56066,4.505,1.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-09,112.66,2.253,1.0,-5.9923,0.0644,-16.2712,,,,,insufficient_history
audnzd,2026-06-09,1.2074,0.361,1.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-09,0.70299,0.391,1.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-09,0.57182,3.072,1.0,-4.0102,-1.1093,-3.1337,,,,,insufficient_history
cadjpy,2026-06-09,114.942,0.82,1.0,-3.1803,0.1489,-16.1724,,,,,insufficient_history
chfjpy,2026-06-09,200.935,-2.252,1.0,0.8299,1.2582,-13.0387,,,,,insufficient_history
euraud,2026-06-09,1.64126,-1.8643,1.0,4.305,-0.0478,0.839,,,,,insufficient_history
eurcad,2026-06-09,1.60966,-0.4313,1.0,1.493,-0.1323,0.7402,,,,,insufficient_history
eurchf,2026-06-09,0.92098,2.6407,1.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
eurgbp,2026-06-09,0.8625,-1.8663,1.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
eurjpy,2026-06-09,185.084,0.3887,1.0,-1.6873,0.0166,-15.4322,,,,,insufficient_history
eurnok,2026-06-09,10.9749,-1.3633,1.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
eurnzd,2026-06-09,1.98381,-1.5033,1.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
eursek,2026-06-09,10.9253,0.1867,1.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
eurusd,2026-06-09,1.15473,-1.4733,1.0,3.0197,0.897,0.0358,,,,,insufficient_history
gbpaud,2026-06-09,1.9019,0.002,1.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
gbpcad,2026-06-09,1.86511,1.435,1.0,-1.4901,-3.8147,1.4,,,,,insufficient_history
gbpchf,2026-06-09,1.06727,4.507,1.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-09,214.453,2.255,1.0,-4.6704,-3.6658,-14.7724,,,,,insufficient_history
gbpnzd,2026-06-09,2.29865,0.363,1.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
gbpusd,2026-06-09,1.33797,0.393,1.0,0.0366,-2.7854,0.6956,,,,,insufficient_history
nzdcad,2026-06-09,0.8109,1.072,1.0,-7.247,2.2776,1.2971,,,,,insufficient_history
nzdchf,2026-06-09,0.46371,4.144,1.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-09,93.243,1.892,1.0,-10.4273,2.4265,-14.8753,,,,,insufficient_history
nzdusd,2026-06-09,0.58184,0.03,1.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
usdcad,2026-06-09,1.39462,-1.042,1.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-09,0.79769,-4.114,1.0,5.5369,2.1386,2.4293,,,,,insufficient_history
usdjpy,2026-06-09,160.348,-1.862,1.0,4.707,0.8804,15.468,,,,,insufficient_history
usdnok,2026-06-09,9.504,-0.11,1.0,21.8363,6.8376,-0.0374,,,,,insufficient_history
usdsek,2026-06-09,9.4644,-1.66,1.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-10,0.97538,1.4,2.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-10,0.55951,4.46,2.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-10,112.317,2.214,2.0,-5.9923,0.0644,-16.2712,,,,,insufficient_history
audnzd,2026-06-10,1.20674,0.357,2.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-10,0.69994,0.347,2.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-10,0.57334,3.06,2.0,-4.0102,-1.1093,-3.1337,,,,,insufficient_history
cadjpy,2026-06-10,115.124,0.814,2.0,-3.1803,0.1489,-16.1724,,,,,insufficient_history
chfjpy,2026-06-10,200.694,-2.246,2.0,0.8299,1.2582,-13.0387,,,,,insufficient_history
euraud,2026-06-10,1.64708,-1.8284,2.0,4.305,-0.0478,0.839,,,,,insufficient_history
eurcad,2026-06-10,1.60801,-0.4284,2.0,1.493,-0.1323,0.7402,,,,,insufficient_history
eurchf,2026-06-10,0.92228,2.6316,2.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
eurgbp,2026-06-10,0.86269,-1.8844,2.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
eurjpy,2026-06-10,185.174,0.3856,2.0,-1.6873,0.0166,-15.4322,,,,,insufficient_history
eurnok,2026-06-10,10.9224,-1.3614,2.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
eurnzd,2026-06-10,1.98981,-1.4714,2.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
eursek,2026-06-10,10.9739,0.1956,2.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
eurusd,2026-06-10,1.15393,-1.4814,2.0,3.0197,0.897,0.0358,,,,,insufficient_history
gbpaud,2026-06-10,1.90894,0.056,2.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
gbpcad,2026-06-10,1.86322,1.456,2.0,-1.4901,-3.8147,1.4,,,,,insufficient_history
gbpchf,2026-06-10,1.06884,4.516,2.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-10,214.586,2.27,2.0,-4.6704,-3.6658,-14.7724,,,,,insufficient_history
gbpnzd,2026-06-10,2.30571,0.413,2.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
gbpusd,2026-06-10,1.33677,0.403,2.0,0.0366,-2.7854,0.6956,,,,,insufficient_history
nzdcad,2026-06-10,0.8078,1.043,2.0,-7.247,2.2776,1.2971,,,,,insufficient_history
nzdchf,2026-06-10,0.46314,4.103,2.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-10,93.002,1.857,2.0,-10.4273,2.4265,-14.8753,,,,,insufficient_history
nzdusd,2026-06-10,0.57981,-0.01,2.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
usdcad,2026-06-10,1.3941,-1.053,2.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-10,0.79959,-4.113,2.0,5.5369,2.1386,2.4293,,,,,insufficient_history
usdjpy,2026-06-10,160.528,-1.867,2.0,4.707,0.8804,15.468,,,,,insufficient_history
usdnok,2026-06-10,9.4637,-0.12,2.0,21.8363,6.8376,-0.0374,,,,,insufficient_history
usdsek,2026-06-10,9.5094,-1.677,2.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-11,0.98389,1.492,2.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-11,0.5601,4.475,2.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-11,112.662,2.216,2.0,-5.9923,0.0644,14.5236,,,,,insufficient_history
audnzd,2026-06-11,1.20726,0.351,2.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-11,0.70537,0.451,2.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-11,0.56892,2.983,2.0,-4.0102,-1.1093,-3.1337,,,,,insufficient_history
cadjpy,2026-06-11,114.49,0.724,2.0,-3.1803,0.1489,14.6224,,,,,insufficient_history
chfjpy,2026-06-11,201.151,-2.259,2.0,0.8299,1.2582,17.7561,,,,,insufficient_history
euraud,2026-06-11,1.64184,-1.8753,2.0,4.305,-0.0478,0.839,,,,,insufficient_history
